City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,nikopol,47.5712,34.3964,23.13,47,10,7.64,UA,1691608680
298,kurchatov,51.6601,35.6521,15.23,72,7,1.37,RU,1691608682
299,nuku'alofa,-21.1333,-175.2,21.19,94,75,3.09,TO,1691607889
300,naliya,23.2667,68.8333,27.62,79,100,7.91,IN,1691608682
301,coxen hole,16.3244,-86.5366,31.6,70,0,6.17,HN,1691608682
302,yeraliyev,43.2,51.65,29.7,42,0,3.21,KZ,1691608683
303,uturoa,-16.7333,-151.4333,24.82,70,14,8.66,PF,1691608569
304,reserva,-24.6503,-50.8506,18.23,76,100,2.18,BR,1691608683
305,christchurch,-43.5333,172.6333,2.75,77,82,4.63,NZ,1691608111
306,malkerns,-26.5667,31.1833,13.88,88,54,0.18,SZ,1691608683
307,punta arenas,-53.15,-70.9167,4.06,93,100,3.09,CL,1691608102
308,yemva,62.59,50.8594,16.69,71,12,0.88,RU,1691608590
309,yulin,22.6333,110.15,25.21,94,48,1.33,CN,1691608684
310,morondava,-20.2833,44.2833,22.3,86,0,4.26,MG,1691608684
311,yemetsk,63.4721,41.7941,17.81,85,7,2.13,RU,1691608684
312,alice springs,-23.7,133.8833,7.75,66,0,2.06,AU,1691608002
313,cabinda,-5.55,12.2,22.26,89,73,3.81,AO,1691608685
314,tarboro,35.8968,-77.5358,33.21,40,40,2.06,US,1691608685
315,cidreira,-30.1811,-50.2056,16.17,95,100,9.09,BR,1691608607
316,heimsheim,48.8,8.85,17.51,87,100,1.65,DE,1691608686
317,akureyri,65.6835,-18.0878,9.96,71,40,3.6,IS,1691608562
318,yssingeaux,45.1333,4.1167,22.7,61,0,1.42,FR,1691608483
319,broome,42.2506,-75.833,27.48,61,40,3.09,US,1691608686
320,fale old settlement,-9.3852,-171.2468,28.27,78,10,6.62,TK,1691608159
321,pampas,-12.4,-74.9,16.4,45,97,3.55,PE,1691608687
322,holualoa,19.6228,-155.9522,27.53,69,20,4.12,US,1691608217
323,bima,-8.4667,118.7167,20.46,93,19,1.66,ID,1691608687
324,alofi,-19.0595,-169.9187,25.94,94,92,1.03,NU,1691608687
325,vila velha,-20.3297,-40.2925,23.97,86,75,4.12,BR,1691608688
326,afif,23.9065,42.9172,32.52,10,76,4.55,SA,1691608125
327,tetbury,51.6394,-2.1622,23.39,74,65,1.69,GB,1691608688
328,dazhou,31.2159,107.5009,26.16,90,7,1.81,CN,1691608688
329,senanga,-16.1167,23.2667,18.44,30,5,3.0,ZM,1691608689
330,new norfolk,-42.7826,147.0587,12.72,71,100,2.7,AU,1691608167
331,funafuti,-8.5243,179.1942,29.0,89,40,2.57,TV,1691608689
332,iranshahr,27.2025,60.6848,40.19,13,9,5.14,IR,1691608689
333,la ronge,55.1001,-105.2842,20.12,52,40,4.63,CA,1691608689
334,queenstown,-31.8976,26.8753,11.01,83,0,2.39,ZA,1691608139
335,severnoye,56.3491,78.3619,15.41,73,98,3.28,RU,1691608690
336,salalah,17.0151,54.0924,26.05,94,100,3.6,OM,1691608575
337,callao,-12.0667,-77.15,22.16,68,100,4.63,PE,1691608158
338,vung tau,10.346,107.0843,27.1,82,46,5.15,VN,1691608691
339,prado,-17.3411,-39.2208,24.07,69,5,3.71,BR,1691608595
340,jayapura,-2.5333,140.7,23.66,93,70,1.94,ID,1691608170
341,elhovo,42.1667,26.5667,21.23,67,0,2.94,BG,1691608692
342,mount gambier,-37.8333,140.7667,10.45,67,99,5.46,AU,1691608445
343,remire-montjoly,4.9167,-52.2667,32.02,62,0,5.14,GF,1691608130
344,birao,10.2849,22.7882,22.2,95,100,4.1,CF,1691608692
345,nouadhibou,20.931,-17.0347,22.99,83,6,8.75,MR,1691608692
346,belfast,54.5833,-5.9333,21.33,79,100,2.57,GB,1691608693
347,saldanha,-33.0117,17.9442,14.03,79,0,3.37,ZA,1691608693
348,ust-nera,64.5667,143.2,12.29,74,18,1.63,RU,1691608098
349,i-n-salah,27.1935,2.4607,39.3,9,0,8.95,DZ,1691608693
350,dryden,49.7833,-92.7503,18.16,59,75,8.23,CA,1691608036
351,felipe carrillo puerto,19.5833,-88.05,37.62,34,5,3.79,MX,1691608693
352,port saint john's,-31.6229,29.5448,17.95,78,100,4.89,ZA,1691608571
353,orizona,-17.0314,-48.2958,30.66,23,2,3.94,BR,1691608694
354,camabatela,-8.1881,15.375,21.09,38,28,1.24,AO,1691608694
355,argungu,12.7433,4.5269,28.61,66,100,2.48,NG,1691608694
356,souillac,-20.5167,57.5167,22.0,73,8,6.3,MU,1691608109
357,tarija,-21.5355,-64.7296,26.95,24,0,2.57,BO,1691608695
358,dhi as sufal,13.8345,44.1147,21.97,58,100,3.57,YE,1691608695
359,novodvinsk,64.4165,40.8122,17.2,77,6,1.9,RU,1691608582
360,timbuktu,16.7735,-3.0074,37.77,27,100,5.15,ML,1691608697
361,wauseon,41.5492,-84.1416,28.34,57,0,3.09,US,1691608698
362,coquimbo,-29.9533,-71.3436,14.85,82,100,3.6,CL,1691608698
363,riversdale,18.1659,-76.9642,32.92,55,67,2.5,JM,1691608507
364,rosa zarate,0.3333,-79.4667,28.61,72,97,2.3,EC,1691608699
365,rio grande,-32.035,-52.0986,17.06,91,100,8.84,BR,1691608609
